"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af","pos"
"1","ENSMUSG00000031762","Mt2","2.22891869699938e-162","7.84200724847869e-23",3,43,40,-0.532131481157652,-0.216206937243964,372.217268486398,50.8999623106783,7704
"2","ENSMUSG00000005413","Hmox1","9.85304503094572e-114","1.2392196253009e-34",15,13,-2,-0.588609238677019,-0.352740019297451,260.206920053714,78.0734113147294,7563
"3","ENSMUSG00000001131","Timp1","5.81929110444593e-95","1.68026459653716e-35",28,10,-18,-0.512803943157811,-0.332800410706426,216.984405383469,80.0715269758391,15713
"4","ENSMUSG00000001025","S100a6","4.13022746562588e-137","1.84249113976307e-22",7,46,39,-0.513438376179513,-0.223568493442269,314.035825258305,50.0457535096117,2617
"5","ENSMUSG00000025351","Cd63","2.97404243798662e-197","3.18624431748597e-35",1,11,10,-0.587918982061056,-0.273292614638622,452.519341202225,79.4316353615339,9711
"6","ENSMUSG00000021091","Serpina3n","7.49282119916567e-80","1.12100288696779e-36",50,6.5,-43.5,-0.445621374274725,-0.315818141814396,182.192862050809,82.7788396283485,11461
"7","ENSMUSG00000026822","Lcn2","1.80736517842183e-61","3.42096330678442e-28",86,23,-63,-0.408693491678712,-0.287623366523148,139.865820590453,63.2424604237695,1236
"8","ENSMUSG00000071637","Cebpd","2.08810093695041e-79","2.42431234798013e-18",52,68,16,-0.489647823423542,-0.250853564505383,181.167967336226,40.5609837575596,13491
"9","ENSMUSG00000020932","Gfap","4.9841292075855e-69","5.30528270273977e-22",69,49,-20,-0.376406695804653,-0.220822390727995,157.272112710965,48.9881689853568,10741
"10","ENSMUSG00000068220","Lgals1","2.52813561536492e-107","5.66490321694685e-37",21,4.5,-16.5,-0.501494218379802,-0.313302356469118,245.449122830199,83.4613586308328,13081
"11","ENSMUSG00000026728","Vim","4.62635089305719e-69","1.50745314788587e-25",68,29,-39,-0.440922757352438,-0.281176875284077,157.346603003288,57.1542057550609,1027
"12","ENSMUSG00000023905","Tnfrsf12a","1.32939117128876e-55","1.29541729239396e-19",100,62,-38,-0.497462726547834,-0.312915124376322,126.357459043194,43.4902838901326,14016
"13","ENSMUSG00000022218","Tgm1","1.0221282840168e-35","6.10962509770701e-09",184,313,129,-0.430779982412067,-0.224621319475584,80.568591248366,18.9134004244495,12507
"14","ENSMUSG00000027907","S100a11","1.17513258514824e-56","5.40339719804815e-24",97,36,-61,-0.447147629983509,-0.304466086905969,128.783384228012,53.5750143653444,2629
"15","ENSMUSG00000035385","Ccl2","2.73962026516355e-41","2.39019084531733e-12",149,167,18,-0.465326512920768,-0.267880199488388,93.3981694913167,26.7596479015759,10412
"16","ENSMUSG00000046711","Hmga1","1.24113834429426e-50","4.22756728978999e-26",120,27,-93,-0.463044251008508,-0.347124637154091,114.913225671615,58.4255856990222,14143
"17","ENSMUSG00000027800","Tm4sf1","2.43875974151401e-21","1.56012699395694e-07",321,463,142,-0.318171020355593,-0.192065227392822,47.4627973454576,15.6733284266275,2399
"18","ENSMUSG00000032231","Anxa2","1.60687578599914e-28","6.41106812826956e-13",242,142,-100,-0.375058348866064,-0.261074684592379,63.9980908156477,28.0755803171966,8500
"19","ENSMUSG00000001473","Tubb6","3.98248324922108e-22","1.93857444194609e-12",309,162,-147,-0.404788202773407,-0.313461358656287,49.2749664891722,26.9690682367077,15011
"20","ENSMUSG00000027832","Ptx3","4.77834404292555e-08","0.229452305946531",975,8726,7751,-0.26681578272631,-0.0703613552600169,16.8565866920057,1.47206008830497,2441
"21","ENSMUSG00000028480","Glipr2","5.47622839458424e-16","1.27668642379554e-09",440,278,-162,-0.326184519695874,-0.258719607208082,35.1409448730604,20.4789978469839,3200
"22","ENSMUSG00000005087","Cd44","6.93674647265735e-15","1.39331496061053e-08",481,354,-127,-0.37983541475842,-0.295623594231662,32.6019435382912,18.0889949723354,1547
"23","ENSMUSG00000035373","Ccl7","1.55234662443375e-11","0.000504491104659548",637,1747.5,1110.5,-0.326543328623626,-0.186603124422914,24.8886682856246,7.59196035031902,10413
"24","ENSMUSG00000050063","Klk6","3.24199512434412e-35","2.11178793159468e-17",188,73,-115,-0.450916031047143,-0.330829798741591,79.414289335383,38.3964116312731,6343
"25","ENSMUSG00000067586","S1pr3","4.92997748626046e-08","1.26964186548867e-06",976,600,-376,-0.24076172278932,-0.222147781010143,16.8253463225896,13.5767756929402,11804
"26","ENSMUSG00000064246","Chil1","6.53471270742473e-11","1.55705414341358e-07",679,462,-217,-0.229947375068543,-0.19375592426565,23.4513076389632,15.6752999845212,583
"27","ENSMUSG00000004891","Nes","2.17718172868031e-24","8.89658802901574e-13",280.5,149,-131.5,-0.459181655331355,-0.34610669516753,54.4840109764326,27.7479383732149,2522
"28","ENSMUSG00000068699","Flnc","4.25771320476905e-10","6.12912611812871e-06",747,755,8,-0.343476277547028,-0.266167207809833,21.5771187201836,12.0024583763957,5156
"29","ENSMUSG00000032085","Tagln","9.80831420886553e-17","1.45385668551666e-06",414,608,194,-0.356621399081629,-0.226600473052611,36.8607161662407,13.4412907493803,8283
"30","ENSMUSG00000053113","Socs3","4.17975884769728e-07","6.72306760319543e-05",1154,1138,-16,-0.257854396763293,-0.214069220242177,14.6878420980243,9.60738092602363,10929
"31","ENSMUSG00000064220","Hist2h2aa1","3.64179303066579e-05","0.00395608819346521",1810,2768,958,-0.169936290709938,-0.125774276190506,10.2204493137624,5.53249957187431,2695
"32","ENSMUSG00000029304","Spp1","1.90291934629476e-21","2.19884720986525e-06",319,645,326,-0.382045653670566,-0.212014008600185,47.7108977478581,13.0275773304494,4520
"33","ENSMUSG00000050335","Lgals3","4.39440609665633e-13","1.80019659582037e-12",549,161,-388,-0.346726023663538,-0.345731884800138,28.4532738185078,27.0431252370903,12405
"34","ENSMUSG00000022893","Adamts1","5.18371504827667e-15","3.53674005152053e-12",479,173,-306,-0.371954573344744,-0.343067809844646,32.8932544049107,26.367815702463,13826
"35","ENSMUSG00000040212","Emp3","5.1641983624734e-07","0.000361202914672996",1170,1625.5,455.5,-0.242071086858492,-0.182865127089653,14.476345766149,7.92607066703818,6439
"36","ENSMUSG00000028195","Ccn1","1.37887510798294e-07","7.68167084647302e-05",1052,1174,122,-0.332848722634424,-0.26582715922368,15.7968276233386,9.47408838333848,2982
"37","ENSMUSG00000030681","Mvp","1.27082343539617e-12","1.75467053053599e-08",573,363,-210,-0.331370697623678,-0.277226240515503,27.3913560512342,17.8583996365467,6944
"38","ENSMUSG00000046768","Rhoj","2.27288829383675e-07","2.85513669903911e-06",1091,680,-411,-0.296249368439595,-0.277954518308592,15.29704425211,12.7663908354284,11259
"39","ENSMUSG00000002289","Angptl4","3.29213249585773e-09","1.81776672876885e-07",834,471,-363,-0.304735345388123,-0.279651972463993,19.5317303071111,15.5204869754441,14246
"40","ENSMUSG00000035493","Tgfbi","1.43889701235491e-12","7.41026446509425e-10",578.5,265,-313.5,-0.382885269470506,-0.347292128644371,27.2671442594831,21.0229848009732,11866
"41","ENSMUSG00000029641","Rasl11a","5.49339339183667e-09","0.000309149756449714",856.5,1579.5,723,-0.311801978336438,-0.209325905787251,19.019719668213,8.0816847497662,5034
"42","ENSMUSG00000034855","Cxcl10","0.00109958614001606","0.00626129573294479",2852,3115,263,-0.207861150481266,-0.181057197251065,6.8128214063215,5.07336812919538,4457
"43","ENSMUSG00000040663","Clcf1","9.07129596099884e-10","2.30202144868537e-08",776,370,-406,-0.433711099755363,-0.41098595638019,20.8207357916765,17.5868931162828,15135
"44","ENSMUSG00000024912","Fosl1","5.38150796574654e-08","2.28678277162961e-05",983,933.5,-49.5,-0.389769315531289,-0.322870814907263,16.7377121180219,10.6857795384244,15184
"45","ENSMUSG00000053175","Bcl3","2.11843851795934e-05","0.00128039834470741",1683,2128.5,445.5,-0.263464126883886,-0.21076486762983,10.7622461958035,6.66058404266274,6081
"46","ENSMUSG00000022146","Osmr","0.000290674612366819","0.00697837473300213",2350.5,3201,850.5,-0.233727176879866,-0.183569604610016,8.14330608697265,4.96493923559552,12776
"47","ENSMUSG00000048572","Tmem252","0.00224609380748464","0.0477025523770293",3201,5395.5,2194.5,-0.200227099566752,-0.138193438861563,6.09856265707119,3.042770373567,15385
"48","ENSMUSG00000028364","Tnc","7.07004537495437e-06","1.23582093952454e-05",1505,861,-644,-0.337530798046122,-0.337530798046122,11.8596436601196,11.3011899873644,3313
"49","ENSMUSG00000026628","Atf3","5.49400885137348e-08","2.57844877374319e-06",986,668,-318,-0.382158444439183,-0.346053358517261,16.7170225451824,12.8683225903414,944
"50","ENSMUSG00000041974","Spidr","0.0484983003111512","0.0873944575930328",5923,6425,502,-0.167508222282142,-0.149434273301107,3.0262265267837,2.43732341259878,13492
"51","ENSMUSG00000018927","Ccl6","2.81378955540379e-07","7.40065134402214e-05",1119,1164,45,-0.299578275421162,-0.244710619159685,15.0835634799227,9.51135744917114,10440
