"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af"
"196","ENSMUSG00000073676","Hspe1","1.30453540434621e-84","1.23962097341499e-35",39,9,-30,-0.4034153104569,-0.272416800046684,193.151300846108,80.375672588501
"269","ENSMUSG00000026004","Kansl1l","0.000638935107655481","0.000856055328475972",2618,1954,-664,-0.417972658523007,-0.417972658523007,7.35570766170841,7.06317554784129
"273","ENSMUSG00000061816","Myl1","0.00791447607106823","0.00931434564058325",4047,3438,-609,-0.498366460350955,-0.498366460350955,4.83906178227242,4.67619952532059
"290","ENSMUSG00000046330","Rpl37a","8.43413638948379e-82","5.1164261974947e-12",45,177.5,132.5,-0.389451655197336,-0.155701056165956,186.67969029893,25.9985649289002
"309","ENSMUSG00000033276","Stk36","0.00025523675422192","0.00077758124153177",2298.5,1916,-382.5,-0.492115808979281,-0.469173876809069,8.27331899561794,7.15932242865356
"504","ENSMUSG00000026389","Steap3","0.000482285916813485","0.000655799160240928",2521,1853.5,-667.5,-0.389079460733622,-0.389079460733622,7.63697343137065,7.32965597406548
"545","ENSMUSG00000055184","Fam72a","0.00272675479244069","0.00340460701912809",3322,2661,-661,-0.358570524368553,-0.358570524368553,5.90464309759185,5.6826257589258
"643","ENSMUSG00000032487","Ptgs2","0.00686905533419529","0.00815440758687573",3927,3308,-619,-0.369063770947792,-0.369063770947792,4.98072868814224,4.80919668970781
"786","ENSMUSG00000038370","Pcp4l1","1.66005045070995e-52","9.78260474934319e-06",113,821,708,-0.368567762672653,-0.122915202919406,119.22757684179,11.5349047750896
"865","ENSMUSG00000104279","Gm38300","0.00798430277485081","0.00939286895624067",4055,3447.5,-607.5,-0.435044786771662,-0.435044786771662,4.83027781799027,4.66780449928174
"910","ENSMUSG00000039384","Dusp10","8.65288415240878e-15","1.7716405069423e-12",484,160,-324,-0.563639934077466,-0.533521838044313,32.3808837015175,27.0591151585135
"928","ENSMUSG00000104394","Gm37254","0.00786518267528212","0.00926084009056383",4041,3432,-609,-0.50523450848373,-0.50523450848373,4.84530951638662,4.681960511916
"944","ENSMUSG00000026628","Atf3","5.49400885137348e-08","2.57844877374319e-06",986,668,-318,-0.382158444439183,-0.346053358517261,16.7170225451824,12.8683225903414
"1027","ENSMUSG00000026728","Vim","4.62635089305719e-69","1.50745314788587e-25",68,29,-39,-0.440922757352438,-0.281176875284077,157.346603003288,57.1542057550609
"1042","ENSMUSG00000054074","Skida1","0.00219028196161878","0.00191202711237382",3186,2335,-851,-0.415151480969428,-0.427596711235143,6.12372499384363,6.25959128434164
"1044","ENSMUSG00000026740","Dnajc1","5.10935030967906e-07","7.00868122004773e-06",1168,775,-393,-0.401397435714422,-0.374267498715345,14.4870233957888,11.8683610029973
"1057","ENSMUSG00000026787","Gad2","6.54932441284337e-44","1.16744877763776e-14",138,108,-30,-0.372367274026959,-0.223342691149763,99.4343821904878,32.0813704658619
"1236","ENSMUSG00000026822","Lcn2","1.80736517842183e-61","3.42096330678442e-28",86,23,-63,-0.408693491678712,-0.287623366523148,139.865820590453,63.2424604237695
"1547","ENSMUSG00000005087","Cd44","6.93674647265735e-15","1.39331496061053e-08",481,354,-127,-0.37983541475842,-0.295623594231662,32.6019435382912,18.0889949723354
"1601","ENSMUSG00000068615","Gjd2","0.00332028468143706","0.00410390997569301",3446,2788,-658,-0.446806021535929,-0.446806021535929,5.70770475230904,5.49581510710158
"1612","ENSMUSG00000040152","Thbs1","3.64023528932607e-05","5.89014815598468e-05",1809,1118,-691,-0.423336651337253,-0.423336651337253,10.2208771454859,9.73964431380565
"1897","ENSMUSG00000032802","Srxn1","1.61747522919306e-80","2.36464516261766e-22",47,47,0,-0.459396542542042,-0.255481237272098,183.725941006503,49.7962440721299
"1902","ENSMUSG00000032715","Trib3","0.00150037125948993","0.00280078651576214",3004,2550,-454,-0.449551468613034,-0.436198116269852,6.50204269517199,5.87785500275909
